"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.3%","35.2%","47.8%","5.6%","(X)","3.1%","6.6%","25.7%","29.4%","11.0%","15.8%","8.4%","90.3%","24.1%","(X)","93.6%","23.4%","(X)","93.2%","28.0%","(X)","91.0%","25.1%","(X)","80.6%","18.9%","","(X)","91.7%","26.3%","(X)","92.4%","26.7%","(X)","89.6%","21.8%","(X)","77.9%","10.7%","(X)","80.9%","29.8%","(X)","93.8%","0.0%","(X)","85.7%","16.5%","(X)","92.2%","21.9%","(X)","86.0%","19.4%","","29.8%","16.8%","12.6%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,219","2,499","9,394","9,726","600","94,335","2,813","6,048","24,732","28,817","9,627","14,530","7,768","(X)","(X)","27,844","25,817","5,536","18,372","16,940","4,562","33,340","30,252","8,603","14,779","12,465","3,597","","53,246","48,995","14,458","47,541","44,149","13,197","33,193","29,556","6,242","1,276","977","158","1,919","1,738","754","282","282","0","1,904","1,623","255","2,515","2,303","431","8,811","7,513","1,472","","(X)","(X)","(X)","(X)","","37,863","21,245","28,293","37,328","53,352","74,242"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.2%","42.3%","43.8%","2.7%","(X)","3.0%","6.4%","26.2%","30.5%","10.2%","15.4%","8.2%","90.6%","23.6%","(X)","92.7%","19.9%","(X)","92.2%","24.8%","(X)","90.7%","25.8%","(X)","84.3%","24.3%","","(X)","92.0%","27.2%","(X)","92.9%","27.8%","(X)","89.0%","18.8%","(X)","76.6%","12.4%","(X)","90.6%","39.3%","(X)","100.0%","0.0%","(X)","85.2%","13.4%","(X)","91.6%","17.1%","(X)","85.3%","16.7%","","26.3%","13.8%","7.7%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,259","2,078","4,872","9,625","1,684","106,894","3,432","7,227","27,059","30,398","12,553","17,164","9,061","(X)","(X)","26,875","25,409","7,260","20,543","19,323","6,352","38,961","35,508","9,542","20,515","15,995","3,071","","54,984","50,226","13,999","49,745","45,721","12,799","40,761","36,686","9,878","1,789","1,411","170","3,732","2,836","931","299","263","0","1,881","1,619","370","3,448","3,194","877","8,999","7,801","1,985","","(X)","(X)","(X)","(X)","","26,309","13,602","20,781","23,218","35,019","50,640"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.4%","26.7%","52.7%","9.2%","(X)","3.2%","6.8%","25.3%","28.4%","11.7%","16.1%","8.5%","90.0%","24.5%","(X)","94.5%","27.0%","(X)","94.1%","30.9%","(X)","91.1%","24.5%","(X)","78.0%","15.0%","","(X)","91.3%","25.5%","(X)","91.9%","25.7%","(X)","90.0%","24.2%","(X)","78.9%","9.5%","(X)","76.0%","24.9%","(X)","88.0%","0.0%","(X)","86.1%","19.7%","(X)","92.6%","25.4%","(X)","86.7%","22.1%","","32.7%","19.4%","16.9%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Currituck County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,754","345","877","455","77","17,586","498","1,753","5,102","4,672","1,716","2,803","1,042","(X)","(X)","2,534","2,263","653","3,242","2,915","665","8,079","7,121","1,680","3,731","3,036","847","","16,015","13,973","3,434","15,600","13,636","3,405","1,050","904","286","132","132","8","101","100","29","0","0","0","83","44","15","205","182","73","508","430","63","","(X)","(X)","(X)","(X)","","36,183","25,476","30,332","36,626","47,917","51,118"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.7%","50.0%","25.9%","4.4%","(X)","2.8%","10.0%","29.0%","26.6%","9.8%","15.9%","5.9%","87.2%","21.9%","(X)","89.3%","25.8%","(X)","89.9%","20.5%","(X)","88.1%","20.8%","(X)","81.4%","22.7%","","(X)","87.2%","21.4%","(X)","87.4%","21.8%","(X)","86.1%","27.2%","(X)","100.0%","6.1%","(X)","99.0%","28.7%","(X)","-","-","(X)","53.0%","18.1%","(X)","88.8%","35.6%","(X)","84.6%","12.4%","","9.1%","11.0%","8.2%","3.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","896","215","488","186","7","8,619","347","1,100","2,557","2,144","766","1,239","466","(X)","(X)","1,183","951","142","1,694","1,411","246","4,015","3,414","822","1,727","1,396","495","","7,901","6,574","1,551","7,676","6,390","1,536","515","434","87","48","48","0","20","20","3","0","0","0","68","29","0","67","67","64","238","197","15","","(X)","(X)","(X)","(X)","","43,468","28,925","36,655","51,420","59,375","61,429"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.0%","54.5%","20.8%","0.8%","(X)","4.0%","12.8%","29.7%","24.9%","8.9%","14.4%","5.4%","83.2%","19.8%","(X)","80.4%","12.0%","(X)","83.3%","14.5%","(X)","85.0%","20.5%","(X)","80.8%","28.7%","","(X)","83.2%","19.6%","(X)","83.2%","20.0%","(X)","84.3%","16.9%","(X)","100.0%","0.0%","(X)","100.0%","15.0%","(X)","-","-","(X)","42.6%","0.0%","(X)","100.0%","95.5%","(X)","82.8%","6.3%","","8.0%","7.4%","5.5%","1.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","858","130","389","269","70","8,967","151","653","2,545","2,528","950","1,564","576","(X)","(X)","1,351","1,312","511","1,548","1,504","419","4,064","3,707","858","2,004","1,640","352","","8,114","7,399","1,883","7,924","7,246","1,869","535","470","199","84","84","8","81","80","26","0","0","0","15","15","15","138","115","9","270","233","48","","(X)","(X)","(X)","(X)","","27,024","14,755","22,519","23,719","42,816","48,750"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.2%","45.3%","31.4%","8.2%","(X)","1.7%","7.3%","28.4%","28.2%","10.6%","17.4%","6.4%","91.0%","23.9%","(X)","97.1%","37.8%","(X)","97.2%","27.1%","(X)","91.2%","21.1%","(X)","81.8%","17.6%","","(X)","91.2%","23.2%","(X)","91.4%","23.6%","(X)","87.9%","37.2%","(X)","100.0%","9.5%","(X)","98.8%","32.1%","(X)","-","-","(X)","100.0%","100.0%","(X)","83.3%","6.5%","(X)","86.3%","17.8%","","11.2%","14.6%","10.4%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Dare County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,293","296","696","757","544","26,002","813","1,130","6,395","7,816","2,296","5,028","2,524","(X)","(X)","3,883","3,384","926","4,423","4,191","1,070","11,164","10,516","3,209","6,532","5,968","2,347","","24,205","22,818","7,287","23,627","22,394","7,173","500","357","62","59","59","24","137","133","69","0","0","0","710","347","49","391","345","61","1,258","741","150","","(X)","(X)","(X)","(X)","","29,823","19,659","27,292","29,305","34,220","40,323"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12.9%","30.4%","33.0%","23.7%","(X)","3.1%","4.3%","24.6%","30.1%","8.8%","19.3%","9.7%","92.5%","29.0%","(X)","87.1%","23.8%","(X)","94.8%","24.2%","(X)","94.2%","28.7%","(X)","91.4%","35.9%","","(X)","94.3%","30.1%","(X)","94.8%","30.4%","(X)","71.4%","12.4%","(X)","100.0%","40.7%","(X)","97.1%","50.4%","(X)","-","-","(X)","48.9%","6.9%","(X)","88.2%","15.6%","(X)","58.9%","11.9%","","15.6%","9.9%","7.9%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,254","200","536","323","195","12,730","512","670","3,288","3,829","954","2,341","1,136","(X)","(X)","1,909","1,617","339","2,276","2,136","461","5,393","4,921","1,294","3,152","2,874","1,383","","11,727","10,945","3,362","11,425","10,695","3,307","305","198","2","4","4","0","63","63","40","0","0","0","460","192","41","171","146","32","757","437","91","","(X)","(X)","(X)","(X)","","32,144","21,364","31,590","33,031","39,764","51,875"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.9%","42.7%","25.8%","15.6%","(X)","4.0%","5.3%","25.8%","30.1%","7.5%","18.4%","8.9%","90.7%","27.3%","(X)","84.7%","17.8%","(X)","93.8%","20.3%","(X)","91.2%","24.0%","(X)","91.2%","43.9%","","(X)","93.3%","28.7%","(X)","93.6%","28.9%","(X)","64.9%","0.7%","(X)","100.0%","0.0%","(X)","100.0%","63.5%","(X)","-","-","(X)","41.7%","8.9%","(X)","85.4%","18.7%","(X)","57.7%","12.0%","","15.9%","8.8%","7.3%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,039","96","160","434","349","13,272","301","460","3,107","3,987","1,342","2,687","1,388","(X)","(X)","1,974","1,767","587","2,147","2,055","609","5,771","5,595","1,915","3,380","3,094","964","","12,478","11,873","3,925","12,202","11,699","3,866","195","159","60","55","55","24","74","70","29","0","0","0","250","155","8","220","199","29","501","304","59","","(X)","(X)","(X)","(X)","","26,196","14,755","21,134","26,141","31,250","27,092"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.2%","15.4%","41.8%","33.6%","(X)","2.3%","3.5%","23.4%","30.0%","10.1%","20.2%","10.5%","94.3%","30.7%","(X)","89.5%","29.7%","(X)","95.7%","28.4%","(X)","97.0%","33.2%","(X)","91.5%","28.5%","","(X)","95.2%","31.5%","(X)","95.9%","31.7%","(X)","81.5%","30.8%","(X)","100.0%","43.6%","(X)","94.6%","39.2%","(X)","-","-","(X)","62.0%","3.2%","(X)","90.5%","13.2%","(X)","60.7%","11.8%","","15.1%","11.1%","8.5%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Davidson County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,690","3,009","4,740","4,393","548","114,042","7,256","12,864","38,190","24,112","10,872","15,053","5,695","(X)","(X)","18,002","15,064","4,004","21,136","18,412","4,435","47,514","39,976","8,780","27,390","20,470","3,529","","100,527","83,350","18,484","96,475","81,096","17,897","9,733","7,982","1,469","439","411","97","1,550","1,125","419","37","27","9","1,007","480","100","749","547","170","5,167","2,827","710","","(X)","(X)","(X)","(X)","","32,475","23,486","28,367","33,242","42,889","50,945"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.7%","37.4%","34.6%","4.3%","(X)","6.4%","11.3%","33.5%","21.1%","9.5%","13.2%","5.0%","82.4%","18.2%","(X)","83.7%","22.2%","(X)","87.1%","21.0%","(X)","84.1%","18.5%","(X)","74.7%","12.9%","","(X)","82.9%","18.4%","(X)","84.1%","18.6%","(X)","82.0%","15.1%","(X)","93.6%","22.1%","(X)","72.6%","27.0%","(X)","73.0%","24.3%","(X)","47.7%","9.9%","(X)","73.0%","22.7%","(X)","54.7%","13.7%","","24.1%","14.8%","9.5%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,534","1,505","2,744","2,118","167","54,512","3,905","6,947","18,958","10,991","4,722","6,621","2,368","(X)","(X)","8,799","7,143","1,469","10,344","8,533","1,665","23,274","18,923","3,982","12,095","9,061","1,873","","48,483","39,052","8,213","46,284","37,941","7,898","4,406","3,453","434","157","145","37","651","524","192","18","18","0","560","286","33","237","182","80","2,784","1,415","348","","(X)","(X)","(X)","(X)","","37,610","27,562","32,224","39,858","54,204","55,996"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.0%","42.0%","32.4%","2.6%","(X)","7.2%","12.7%","34.8%","20.2%","8.7%","12.1%","4.3%","80.1%","16.5%","(X)","81.2%","16.7%","(X)","82.5%","16.1%","(X)","81.3%","17.1%","(X)","74.9%","15.5%","","(X)","80.5%","16.9%","(X)","82.0%","17.1%","(X)","78.4%","9.9%","(X)","92.4%","23.6%","(X)","80.5%","29.5%","(X)","100.0%","0.0%","(X)","51.1%","5.9%","(X)","76.8%","33.8%","(X)","50.8%","12.5%","","19.1%","11.7%","7.3%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,156","1,504","1,996","2,275","381","59,530","3,351","5,917","19,232","13,121","6,150","8,432","3,327","(X)","(X)","9,203","7,921","2,535","10,792","9,879","2,770","24,240","21,053","4,798","15,295","11,409","1,656","","52,044","44,298","10,271","50,191","43,155","9,999","5,327","4,529","1,035","282","266","60","899","601","227","19","9","9","447","194","67","512","365","90","2,383","1,412","362","","(X)","(X)","(X)","(X)","","27,344","13,668","23,227","27,275","35,999","48,192"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.4%","32.4%","37.0%","6.2%","(X)","5.6%","9.9%","32.3%","22.0%","10.3%","14.2%","5.6%","84.4%","19.8%","(X)","86.1%","27.5%","(X)","91.5%","25.7%","(X)","86.9%","19.8%","(X)","74.6%","10.8%","","(X)","85.1%","19.7%","(X)","86.0%","19.9%","(X)","85.0%","19.4%","(X)","94.3%","21.3%","(X)","66.9%","25.3%","(X)","47.4%","47.4%","(X)","43.4%","15.0%","(X)","71.3%","17.6%","(X)","59.3%","15.2%","","29.9%","17.8%","11.3%","6.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Davie County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,939","455","1,233","1,109","142","29,431","1,152","3,126","9,130","6,387","2,699","4,498","2,439","(X)","(X)","3,700","3,130","747","5,361","4,596","1,522","12,571","11,071","2,950","7,799","6,356","1,718","","26,635","23,179","6,522","25,906","22,799","6,418","1,881","1,485","203","21","21","1","191","161","109","0","0","0","576","186","60","127","121","42","1,350","611","191","","(X)","(X)","(X)","(X)","","33,742","21,071","29,806","32,809","52,040","53,824"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.5%","42.0%","37.7%","4.8%","(X)","3.9%","10.6%","31.0%","21.7%","9.2%","15.3%","8.3%","85.5%","23.6%","(X)","84.6%","20.2%","(X)","85.7%","28.4%","(X)","88.1%","23.5%","(X)","81.5%","22.0%","","(X)","87.0%","24.5%","(X)","88.0%","24.8%","(X)","78.9%","10.8%","(X)","100.0%","4.8%","(X)","84.3%","57.1%","(X)","-","-","(X)","32.3%","10.4%","(X)","95.3%","33.1%","(X)","45.3%","14.1%","","20.8%","11.7%","9.7%","2.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,448","215","629","534","70","14,077","720","1,684","4,571","2,933","1,119","2,046","1,004","(X)","(X)","1,765","1,447","158","2,690","2,153","600","6,170","5,265","1,329","3,452","2,808","963","","12,716","10,741","2,925","12,291","10,566","2,871","935","784","68","4","4","0","66","53","25","0","0","0","306","41","0","50","50","32","757","242","80","","(X)","(X)","(X)","(X)","","37,658","21,695","33,131","36,031","69,234","125,850"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
